X,Y,Straatnaam,Persoon,Datum,Opmerking,Check,fid,icon_url
4.49836890025245,50.9741672939463,Aarschotsevoetweg,,,,,,./0.png
4.49876701300339,50.9743887897194,Aarschotsevoetweg,,,,,,./0.png
4.50137134713271,50.9671907934332,Muntvoetweg,,,,,,./0.png
4.50324426002635,50.9679092624726,Muntvoetweg,,,,,,./0.png
4.49611997819106,50.9640995003589,Kerkhofvoetweg,,,,,,./0.png
4.49783126896247,50.9640605803632,Kerkhofvoetweg,,,,,,./0.png
4.50716767043184,50.9635296682768,Begijnhofsvoetweg,,,,,,./0.png
4.5069133535821,50.964189813915,Begijnhofsvoetweg,,,,,,./0.png
4.50504043958922,50.9634798950893,Binnenbeekvoetweg,,,,,,./0.png
4.5070393221661,50.9639409506569,Binnenbeekvoetweg,,,,,,./0.png
4.50517734762299,50.9595025317674,Molekensbeekvoetweg,,,,,,./0.png
4.4949291346474,50.993511096277,Oudemolendreef,,,,,,./0.png
4.4969185101374,50.9937968264231,Oudemolendreef,,,,,,./0.png
4.4773288647804,50.9795596676318,Zemstsebergvoetweg,,,,,,./0.png
4.47856479710239,50.9797961018554,Zemstsebergvoetweg,,,,,,./0.png
4.47849698727284,50.9686369397677,Hauwlandsveldweg,,,,,,./0.png
4.47335817444685,50.9689397001448,Watermolenvoetweg,,,,,,./0.png
4.47573021395999,50.9695324153645,Watermolenvoetweg,,,,,,./0.png
4.4747340392564,50.9728759607099,Oude Hertevoetweg,,,,,,./0.png
4.47555165593703,50.973220186257,Oude Hertevoetweg,,,,,,./0.png
4.47795711601889,50.9726566264976,Korte Kostersvoetweg,,,,,,./0.png
4.47766714732421,50.9731550066817,Korte Kostersvoetweg,,,,,,./0.png
4.46998133748009,50.97311617709,Toekomstvoetweg,,,,,,./0.png
4.47039965301785,50.9736444847269,Toekomstvoetweg,,,,,,./0.png
4.47065188950702,50.9720751613177,Zamenhofvoetweg,,,,,,./0.png
4.47102979957876,50.97243286271,Zamenhofvoetweg,,,,,,./0.png
4.47870904003388,50.9712560709933,Zonnevoetweg,,,,,,./0.png
4.47948387452043,50.9705376538993,Zonnevoetweg,,,,,,./0.png
4.47885447243505,50.9740574195682,Lange Hertevoetweg,,,,,,./0.png
4.48108152695186,50.9748326520865,Lange Hertevoetweg,,,,,,./0.png
4.47217592078335,50.9716379566178,Bloemenvoetweg,,,,,,./0.png
4.47317892753814,50.9708746446461,Bloemenvoetweg,,,,,,./0.png
4.47243955890037,50.9651971778715,Steenvaartvoetweg,,,,,,./0.png
4.47289590303091,50.9659201683104,Steenvaartvoetweg,,,,,,./0.png
4.48693088499218,50.9845090913624,Arendvoetweg,,,,,,./0.png
4.48180022334594,50.9688581799537,Steenbergvoetweg,,,,,,./0.png
4.48615451095548,50.9734141200329,Steenbergvoetweg,,,,,,./0.png
4.48126614700366,50.9721707732671,Donckervoetweg,,,,,,./0.png
